checking_status,duration_months,credit_history,purpose,credit_amount,savings_status,employment_since,installment_rate_pct,personal_status_sex,other_debtors,residence_since,property_magnitude,age,other_installment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,is_high_risk
menos_de_0_DM,6,cuenta_critica_otros_bancos,radio_tv,1169,desconocido_sin_cuenta_ahorro,7_anios_o_mas,4,hombre_soltero,ninguno,4,inmueble,67,ninguno,propia,2,empleado_cualificado,1,si,si,0
0_a_200_DM,48,pagados_hasta_ahora,radio_tv,5951,menos_de_100_DM,1_a_4_anios,2,mujer_divorciada_separada_casada,ninguno,2,inmueble,22,ninguno,propia,1,empleado_cualificado,1,no,si,1
sin_cuenta_corriente,12,cuenta_critica_otros_bancos,educacion,2096,menos_de_100_DM,4_a_7_anios,2,hombre_soltero,ninguno,3,inmueble,49,ninguno,propia,1,no_cualificado_residente,2,no,si,0
menos_de_0_DM,42,pagados_hasta_ahora,mobiliario,7882,menos_de_100_DM,4_a_7_anios,2,hombre_soltero,avalista,,seguro_vida_o_similar,45,ninguno,gratuita,1,empleado_cualificado,2,no,si,0
menos_de_0_DM,24,retraso_en_pagos_previos,coche_nuevo,4870,menos_de_100_DM,1_a_4_anios,3,hombre_soltero,ninguno,4,desconocido_sin_propiedad,53,ninguno,gratuita,2,empleado_cualificado,2,no,si,1
sin_cuenta_corriente,36,pagados_hasta_ahora,educacion,9055,desconocido_sin_cuenta_ahorro,1_a_4_anios,2,hombre_soltero,ninguno,4,desconocido_sin_propiedad,35,ninguno,gratuita,1,no_cualificado_residente,2,si,si,0
sin_cuenta_corriente,24,pagados_hasta_ahora,mobiliario,2835,500_a_1000_DM,7_anios_o_mas,3,hombre_soltero,ninguno,4,seguro_vida_o_similar,53,ninguno,propia,1,empleado_cualificado,1,no,si,0
0_a_200_DM,36,pagados_hasta_ahora,coche_usado,6948,menos_de_100_DM,1_a_4_anios,2,hombre_soltero,ninguno,2,coche_u_otro,35,ninguno,alquiler,1,directivo_autonomo_alta_cualificacion,1,si,si,0
sin_cuenta_corriente,12,pagados_hasta_ahora,radio_tv,3059,1000_DM_o_mas,4_a_7_anios,2,hombre_divorciado_separado,ninguno,4,inmueble,61,ninguno,propia,1,no_cualificado_residente,1,no,si,0
0_a_200_DM,30,cuenta_critica_otros_bancos,coche_nuevo,5234,menos_de_100_DM,desempleado,4,hombre_casado_viudo,ninguno,2,coche_u_otro,28,ninguno,propia,2,directivo_autonomo_alta_cualificacion,1,no,si,1
0_a_200_DM,12,pagados_hasta_ahora,coche_nuevo,1295,menos_de_100_DM,menos_de_1_anio,3,mujer_divorciada_separada_casada,ninguno,1,coche_u_otro,25,ninguno,alquiler,1,empleado_cualificado,1,no,si,1
menos_de_0_DM,48,pagados_hasta_ahora,negocio,4308,menos_de_100_DM,menos_de_1_anio,3,mujer_divorciada_separada_casada,ninguno,4,seguro_vida_o_similar,24,ninguno,alquiler,1,empleado_cualificado,1,no,si,1
0_a_200_DM,12,pagados_hasta_ahora,radio_tv,1567,menos_de_100_DM,1_a_4_anios,1,mujer_divorciada_separada_casada,ninguno,1,coche_u_otro,22,ninguno,propia,1,empleado_cualificado,1,si,si,0
